node1,node2,CN,JC,AA,RA,PA
1226,1701,0.9756844074137051,0.9997166014850082,0.9780649549396361,0.9811823386045457,0.7983902964348467
1018,1806,0.9999433202970016,1.0,0.9999433202970016,1.0,0.9909879272232613
1326,1365,0.9972793742560789,1.0,0.9980162103950575,0.9993198435640197,0.9425834608626651
1618,1783,0.9939352717791758,0.9996599217820099,0.9972226945530805,0.9999433202970016,0.958170379187213
0,110,0.9999433202970016,1.0,0.9999433202970016,1.0,0.9880405826673468
238,1397,0.9601258289406563,0.9939069319276767,0.9839029643484668,0.9999433202970016,0.6335373802641274
150,1218,0.9990364450490279,1.0,0.9992631638610213,0.9994332029700165,0.725103440457972
895,1802,0.9661622173099813,0.9970526554440855,0.9744941336507397,0.9943887094031627,0.8590659184945871
1136,1861,1.0,1.0,1.0,1.0,0.9847531598934421
517,1477,0.99172476336224,0.9996599217820099,0.9951255455421414,0.9994332029700165,0.9261746868446409
898,1675,0.8780252791475373,0.9516805531939012,0.9128832964915263,0.9798787054355835,0.5592869693362806
1582,1994,0.9972793742560789,0.9979595306920592,0.9975627727710706,0.9986396871280394,0.9946437680666553
612,777,0.9661622173099813,0.9927449980162104,0.968826163350904,0.976137845037692,0.8830130930113926
832,1116,0.9795386272175933,0.9996032420790115,0.9822025732585161,0.990307770787281,0.6714561015700278
1356,1712,0.9018590942583461,0.9996599217820099,0.9027376296548206,0.892308564303123,0.39168508757014114
637,1720,0.8085643031230516,0.9990647849005271,0.8873207504392677,0.9945020688091595,0.2175933798106898
279,1756,0.99793119084056,1.0,0.9980728900980559,0.9986396871280394,0.9214419316442782
93,1684,0.9530125262143626,0.9871053675678739,0.9660488579039845,0.9918948024712351,0.7988720739103327
469,1785,0.9795386272175933,1.0,0.9871903871223715,0.9986396871280394,0.5857280507850139
1159,1959,0.9939352717791758,0.9996032420790115,0.9956356628691265,0.9986396871280394,0.9568100663152526
931,1843,0.9998866405940033,1.0,0.9999433202970016,1.0,0.9972793742560789
284,935,1.0,1.0,1.0,1.0,0.9938219123731792
874,1577,0.9823726123675112,0.9917814430652383,0.9872470668253699,0.9977894915830641,0.9332879895709346
1421,1433,0.9885790398458312,0.9981862495040525,0.9918381227682367,0.9980162103950575,0.9511420960154169
376,1538,0.9866802697953863,0.997449413365074,0.9888907782123222,0.9929717168282038,0.8851102420223318
355,1787,0.9441704925466191,0.9954089440571331,0.9403729524457292,0.9094258346086267,0.7537833701751403
362,514,0.9939352717791758,0.9996599217820099,0.9951822252451397,0.9981862495040525,0.9576602618602279
47,1868,0.9989514254945304,1.0,0.9990364450490279,0.9993765232670181,0.9388142606132743
460,721,0.9939352717791758,1.0,0.9954089440571331,0.9986396871280394,0.8155642464433487
1604,1959,0.9601258289406563,0.9927449980162104,0.9697330385988777,0.9914980445502466,0.8712520546392337
422,1152,0.9441704925466191,0.9284702148160744,0.9452474069035878,0.9388992801677719,0.8833248313778835
488,1069,0.9939352717791758,1.0,0.9951255455421414,0.9975627727710706,0.8849402029133367
181,498,0.9964575185626028,0.996655897523097,0.9973360539590772,0.9990931247520263,0.9937652326701808
166,711,0.9441704925466191,0.9996599217820099,0.9537493623533413,0.9738139772147594,0.5397324718018478
579,1330,0.9018590942583461,0.9793402482570991,0.9242192370911977,0.9776115173156492,0.7348523493736893
445,1343,0.9994332029700165,1.0,0.9996599217820099,0.9997732811880066,0.8270135464490166
176,1520,0.9952672447996372,0.9709233123618433,0.9956923425721249,0.9970526554440855,0.993481834155189
1298,1513,0.5311171569460976,0.5127529331746301,0.6165051295131213,0.8166411608003175,0.1907555404409681
